,label,blue,green,red,nir,swir1,swir2
2797,veg,8313.0,8720.0,8488.0,16870.0,13082.0,9923.0
2798,veg,8387.0,8721.0,8421.0,16275.0,13172.0,9923.0
2799,veg,8097.0,8647.0,8489.0,14934.0,13261.0,10109.0
2800,veg,8461.0,8798.0,8695.0,15530.0,14154.0,10760.0
2801,veg,8317.0,8723.0,8832.0,15679.0,14243.0,10668.0
2802,veg,8535.0,9023.0,8764.0,14933.0,14690.0,11133.0
2803,veg,8392.0,8801.0,8901.0,14634.0,14422.0,11132.0
2804,veg,8320.0,8876.0,8697.0,14334.0,13618.0,10481.0
2805,veg,8394.0,8652.0,8698.0,14783.0,13796.0,10667.0
2806,veg,8669.0,8941.0,8963.0,15981.0,14246.0,10761.0
2807,veg,8524.0,8941.0,8895.0,15683.0,14246.0,10761.0
2808,veg,8596.0,8866.0,8894.0,15534.0,14335.0,11041.0
2809,veg,8380.0,8941.0,8826.0,15384.0,14335.0,10761.0
2810,veg,8381.0,8867.0,8759.0,15533.0,14246.0,10854.0
2811,veg,8454.0,8868.0,8827.0,15384.0,13888.0,10669.0
2812,veg,8238.0,8718.0,8691.0,15532.0,13620.0,10388.0
2813,veg,8239.0,8869.0,8692.0,15681.0,14066.0,10295.0
2814,veg,8385.0,9095.0,8965.0,17019.0,15227.0,11134.0
2815,veg,8313.0,8945.0,8829.0,16722.0,14513.0,10760.0
2816,veg,8387.0,8721.0,8557.0,15382.0,13261.0,10109.0
2817,veg,8315.0,8647.0,8558.0,15381.0,13261.0,10202.0
2818,veg,8244.0,8573.0,8422.0,16274.0,13261.0,10016.0
2819,veg,8171.0,8873.0,8695.0,16422.0,13619.0,10294.0
2820,veg,8463.0,8724.0,8559.0,15380.0,13797.0,10481.0
2821,veg,8319.0,8800.0,8765.0,14933.0,14243.0,10853.0
2822,veg,8536.0,9024.0,8833.0,14783.0,14332.0,11132.0
2823,veg,8249.0,8802.0,8697.0,14932.0,14064.0,10759.0
2824,veg,8395.0,8652.0,8698.0,14633.0,13617.0,10480.0
2825,veg,8323.0,8803.0,8835.0,14931.0,13796.0,10480.0
2826,veg,8382.0,8943.0,8555.0,16575.0,13888.0,10388.0
2827,veg,8524.0,8941.0,8895.0,15683.0,14246.0,10761.0
2828,veg,8525.0,8867.0,8963.0,15384.0,14425.0,10947.0
2829,veg,8454.0,8868.0,8827.0,15533.0,14335.0,10947.0
2830,veg,8383.0,8794.0,8623.0,15234.0,14245.0,10854.0
2831,veg,8311.0,8795.0,8760.0,15233.0,14156.0,10760.0
2832,veg,8240.0,8870.0,8692.0,15532.0,13977.0,10482.0
2833,veg,8386.0,8871.0,8693.0,15830.0,14244.0,10760.0
2834,veg,8314.0,9020.0,8898.0,15829.0,14244.0,10853.0
2835,veg,8388.0,8872.0,8831.0,15232.0,13887.0,10575.0
2836,veg,8389.0,8722.0,8695.0,14635.0,13976.0,10853.0
2837,veg,8462.0,8799.0,8695.0,14485.0,14065.0,10946.0
2838,veg,8391.0,8799.0,8559.0,15827.0,13618.0,10202.0
2839,veg,8173.0,8724.0,8492.0,16719.0,13529.0,9922.0
2840,veg,8319.0,8725.0,8424.0,15677.0,12813.0,9735.0
2841,veg,8320.0,8726.0,8697.0,16123.0,13707.0,10387.0
2842,veg,8394.0,8877.0,8902.0,16271.0,14511.0,10852.0
2843,veg,8322.0,8727.0,8630.0,15825.0,13796.0,10294.0
2844,veg,8468.0,8728.0,8631.0,15080.0,13617.0,10480.0
2845,veg,8397.0,8804.0,8768.0,14931.0,13974.0,10759.0
2846,veg,8382.0,8943.0,8555.0,16575.0,13888.0,10388.0
2847,veg,8309.0,8794.0,8623.0,15980.0,13977.0,10388.0
2848,veg,8310.0,8794.0,8760.0,15682.0,13709.0,10482.0
2849,veg,8311.0,8869.0,8760.0,15979.0,13888.0,10388.0
2850,veg,8385.0,8945.0,8761.0,15532.0,13977.0,10760.0
2851,veg,8241.0,8871.0,8761.0,15084.0,13977.0,10575.0
2852,veg,8314.0,8871.0,8762.0,15531.0,14424.0,10668.0
2853,veg,8388.0,8872.0,8762.0,15680.0,14065.0,10668.0
2854,veg,8389.0,8873.0,8695.0,15083.0,13708.0,10574.0
2855,veg,8390.0,8799.0,8695.0,14784.0,14154.0,10760.0
2856,veg,8462.0,8724.0,8900.0,14634.0,14332.0,11133.0
2857,veg,8318.0,8875.0,8833.0,14634.0,13886.0,10759.0
2858,veg,8247.0,8801.0,8628.0,15528.0,14153.0,10481.0
2859,veg,8248.0,8651.0,8493.0,16272.0,13170.0,10015.0
2860,veg,8249.0,8652.0,8493.0,16569.0,13081.0,9922.0
2861,veg,8322.0,8803.0,8698.0,16717.0,13796.0,10387.0
2862,veg,8396.0,8728.0,8699.0,17161.0,14421.0,10574.0
2863,veg,8397.0,8804.0,8631.0,17160.0,14421.0,10667.0
2864,veg,8398.0,8879.0,8768.0,16269.0,14063.0,10480.0
2865,veg,8399.0,8805.0,8836.0,15824.0,14152.0,10759.0
2866,veg,8456.0,8795.0,8761.0,15830.0,13709.0,10203.0
2867,veg,8384.0,8795.0,8760.0,15681.0,13620.0,10482.0
2868,veg,8385.0,8945.0,8693.0,15681.0,13709.0,10295.0
2869,veg,8313.0,8796.0,8693.0,15829.0,13619.0,10295.0
2870,veg,8314.0,8872.0,8694.0,15829.0,13976.0,10481.0
2871,veg,8460.0,8872.0,8831.0,15829.0,14780.0,11133.0
2872,veg,8461.0,8873.0,8763.0,15083.0,13976.0,10481.0
2873,veg,8245.0,8723.0,8627.0,14635.0,13529.0,10574.0
2874,veg,8317.0,8874.0,8696.0,14784.0,13618.0,10574.0
2875,veg,8318.0,8724.0,8833.0,15082.0,14243.0,10946.0
2876,veg,8464.0,8875.0,8901.0,14634.0,14601.0,11411.0
2877,veg,8393.0,8801.0,8833.0,15082.0,14242.0,10759.0
2878,veg,8249.0,8802.0,8629.0,15528.0,13707.0,10387.0
2879,veg,8250.0,8803.0,8630.0,15081.0,13350.0,10202.0
2880,veg,8251.0,8728.0,8630.0,15974.0,13439.0,10108.0
2881,veg,8252.0,8728.0,8767.0,16567.0,13974.0,10759.0
2882,veg,8253.0,8805.0,8631.0,17011.0,13349.0,10202.0
2883,veg,8254.0,8729.0,8564.0,17159.0,13438.0,10015.0
2884,veg,8326.0,8730.0,8632.0,16417.0,13080.0,9922.0
2885,veg,8255.0,8731.0,8701.0,15823.0,13258.0,10015.0
2886,veg,8387.0,8797.0,8762.0,15680.0,13798.0,10203.0
2887,veg,8387.0,8946.0,8830.0,15829.0,13887.0,10668.0
2888,veg,8459.0,8872.0,8830.0,15232.0,14244.0,10760.0
2889,veg,8315.0,8798.0,8831.0,15083.0,13976.0,10481.0
2890,veg,8244.0,8798.0,8695.0,15231.0,14065.0,10668.0
2891,veg,8317.0,8799.0,8764.0,15083.0,13886.0,10574.0
2892,veg,8246.0,8724.0,8491.0,14933.0,13351.0,10016.0
2893,veg,8247.0,8724.0,8833.0,14933.0,13440.0,10481.0
2894,veg,8393.0,8801.0,8560.0,14933.0,13260.0,10294.0
2895,veg,8248.0,8801.0,8834.0,15528.0,14153.0,10574.0
2896,veg,8466.0,8877.0,8766.0,15081.0,14331.0,10946.0
2897,veg,8395.0,8803.0,8834.0,14782.0,14511.0,11132.0
2898,veg,8251.0,8952.0,8767.0,14633.0,14689.0,11317.0
2899,veg,8469.0,8654.0,8631.0,15527.0,13706.0,10387.0
2900,veg,8469.0,8729.0,8495.0,16567.0,13617.0,10202.0
